"onset_date","day_no","all","pass","crew"
"20-Jan",1,2,2,0
"21-Jan",2,0,0,0
"22-Jan",3,0,0,0
"23-Jan",4,1,1,0
"24-Jan",5,0,0,0
"25-Jan",6,0,0,0
"26-Jan",7,0,0,0
"27-Jan",8,0,0,0
"28-Jan",9,0,0,0
"29-Jan",10,1,1,0
"30-Jan",11,1,1,0
"31-Jan",12,0,0,0
"01-Feb",13,4,4,0
"02-Feb",14,4,4,0
"03-Feb",15,4,4,0
"04-Feb",16,6,6,0
"05-Feb",17,12,12,0
"06-Feb",18,17,15,2
"07-Feb",19,31,29,2
"08-Feb",20,19,17,2
"09-Feb",21,24,19,5
"10-Feb",22,10,7,3
"11-Feb",23,19,11,8
"12-Feb",24,12,5,7
"13-Feb",25,17,9,8
"14-Feb",26,7,2,5
"15-Feb",27,4,1,3
"16-Feb",28,3,0,3
"17-Feb",29,1,0,1
"18-Feb",30,0,0,0
"19-Feb",31,0,0,0
"20-Feb",32,0,0,0
