test_date,tests,pos,symp,non_symp
20/01,0,0,0,0
21/01,0,0,0,0
22/01,0,0,0,0
23/01,0,0,0,0
24/01,0,0,0,0
25/01,0,0,0,0
26/01,0,0,0,0
27/01,0,0,0,0
28/01,0,0,0,0
29/01,0,0,0,0
30/01,0,0,0,0
31/01,0,0,0,0
01/02,0,0,0,0
02/02,0,0,0,0
03/02,0,0,0,0
04/02,0,0,0,0
05/02,31,10,10,0
06/02,71,10,10,0
07/02,171,41,41,0
08/02,6,3,3,0
09/02,57,6,6,0
10/02,103,65,65,0
11/02,0,0,0,0
12/02,53,39,39,0
13/02,221,44,9,35
14/02,0,0,0,0
15/02,217,67,29,38
16/02,289,70,32,38
17/02,504,99,29,70
18/02,681,88,23,65
19/02,607,79,11,68
20/02,52,13,7,6
