test_date,tests,pos,symp,non_symp
20-Jan,0,0,0,0
21-Jan,0,0,0,0
22-Jan,0,0,0,0
23-Jan,0,0,0,0
24-Jan,0,0,0,0
25-Jan,0,0,0,0
26-Jan,0,0,0,0
27-Jan,0,0,0,0
28-Jan,0,0,0,0
29-Jan,0,0,0,0
30-Jan,0,0,0,0
31-Jan,0,0,0,0
01-Feb,0,0,0,0
02-Feb,0,0,0,0
03-Feb,0,0,0,0
04-Feb,0,0,0,0
05-Feb,31,10,10,0
06-Feb,71,10,10,0
07-Feb,171,41,41,0
08-Feb,6,3,3,0
09-Feb,57,6,6,0
10-Feb,103,65,65,0
11-Feb,0,0,0,0
12-Feb,53,39,39,0
13-Feb,221,44,9,35
14-Feb,0,0,0,0
15-Feb,217,67,29,38
16-Feb,289,70,32,38
17-Feb,504,99,29,70
18-Feb,681,88,23,65
19-Feb,607,79,11,68
20-Feb,52,13,7,6
